time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ID_0,.x0,.y0,.z0,.ID_1,.x1,.y1,.z1,.ID_2,.x2,.y2,.z2,.ID_3,.x3,.y3,.z3,.ID_4,.x4,.y4,.z4,.ID_5,.x5,.y5,.z5,.ID_6,.x6,.y6,.z6,.ID_7,.x7,.y7,.z7
2022/02/26/23:59:26.787219,5712,1645937966,786721944,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.168065279722,0.137849599123,0.152169808745,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.347307384014,0.290084481239,0.11178625375
2022/02/26/23:59:26.928068,5713,1645937966,926721096,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.166943192482,0.140167206526,0.151174739003,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.346180647612,0.292171776295,0.109948016703
2022/02/26/23:59:27.073580,5714,1645937967,73250055,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.165916219354,0.141988128424,0.150511369109,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.344716161489,0.293869972229,0.107531711459
2022/02/26/23:59:27.208813,5715,1645937967,208060026,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.165005862713,0.143212243915,0.150075763464,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.342737615108,0.295282393694,0.10382412374
2022/02/26/23:59:27.346522,5716,1645937967,345973968,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.164535298944,0.143864139915,0.149460464716,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.340858787298,0.296243339777,0.0994284749031
2022/02/26/23:59:27.479589,5717,1645937967,479257106,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.163687258959,0.144554659724,0.148941412568,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.338414847851,0.297112077475,0.0946319401264
2022/02/26/23:59:27.614004,5718,1645937967,613575935,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.162463620305,0.145225718617,0.1485991925,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.335359185934,0.297848284245,0.0895226448774
2022/02/26/23:59:27.750062,5719,1645937967,749752998,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.161274924874,0.146112263203,0.148327484727,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.332822203636,0.298253268003,0.0849722698331
2022/02/26/23:59:27.881528,5720,1645937967,881000995,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.159849449992,0.147376999259,0.148124054074,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.330573529005,0.298658519983,0.0815160572529
2022/02/26/23:59:28.017867,5721,1645937968,17138957,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.157712116838,0.149835348129,0.147309094667,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.3273434937,0.301158875227,0.0783646777272
